Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.78       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.124     |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.0823    |
|    value_loss           | 0.0656     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.45       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 47         |
|    time_elapsed         | 991        |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.08431931 |
|    clip_fraction        | 0.544      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.835      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.135     |
|    n_updates            | 460        |
|    policy_gradient_loss | -0.0854    |
|    value_loss           | 0.0588     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 172        |
|    ep_rew_mean          | 3.48       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 48         |
|    time_elapsed         | 1012       |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.08499168 |
|    clip_fraction        | 0.541      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.23      |
|    explained_variance   | 0.796      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0993    |
|    n_updates            | 470        |
|    policy_gradient_loss | -0.0902    |
|    value_loss           | 0.0685     |
----------------------------------------
Eval num_timesteps=100000, episode_reward=3.30 +/- 1.47
Episode length: 133.80 +/- 47.86
----------------------------------------
| eval/                   |            |
|    mean_ep_length       | 134        |
|    mean_reward          | 3.3        |
| time/                   |            |
|    total_timesteps      | 100000     |
| train/                  |            |
|    approx_kl            | 0.09397824 |
|    clip_fraction        | 0.573      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.25      |
|    explained_variance   | 0.785      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.12      |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.0938    |
|    value_loss           | 0.0574     |
----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 172      |
|    ep_rew_mean     | 3.44     |
| time/              |          |
|    fps             | 96       |
|    iterations      | 49       |
|    time_elapsed    | 1041     |
|    total_timesteps | 100352   |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 174        |
|    ep_rew_mean          | 3.41       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 50         |
|    time_elapsed         | 1062       |
|    total_timesteps      | 102400     |
| train/                  |            |
|    approx_kl            | 0.09305511 |
|    clip_fraction        | 0.57       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.26      |
|    explained_variance   | 0.74       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.162     |
|    n_updates            | 490        |
|    policy_gradient_loss | -0.0944    |
|    value_loss           | 0.0455     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 172         |
|    ep_rew_mean          | 3.35        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 51          |
|    time_elapsed         | 1083        |
|    total_timesteps      | 104448      |
| train/                  |             |
|    approx_kl            | 0.105037406 |
|    clip_fraction        | 0.596       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.27       |
|    explained_variance   | 0.772       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.126      |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0904     |
|    value_loss           | 0.0403      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 165        |
|    ep_rew_mean          | 3.18       |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 52         |
|    time_elapsed         | 1107       |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.08595878 |
|    clip_fraction        | 0.543      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.27      |
|    explained_variance   | 0.78       |
